,Target,Weight
23,HEK293_Epithelium_Embryonic_Kidney | TRIM28 | ID:1174,0.06355508
1982,H1_Embryonic_Stem_Cell_Embryo | RFX5 | ID:45692,0.0635294
7225,Fibroblast_Fetal_Lung | NEUROG2 | ID:76809,0.06352036
4609,HEK293_Epithelium_Embryonic_Kidney | SMN1 | ID:58948,0.06351013
5533,K562_Erythroblast_Bone_Marrow | ZKSCAN1 | ID:64746,0.063498825
3892,Mesenchymal_Stem_Cell | ATF4 | ID:54129,0.06336602
7420,SHEP-21N_Neuroblastoma_cell_Bone_Marrow | MYCN | ID:81174,0.063327625
8923,H1-hESC | CtBP2 | ENCODE,0.063289724
7629,H460_cells | NR0B1 | ID:82635,0.0632725
483,LNCaP_Epithelium_Prostate | AR | ID:33920,0.063249014
8753,Fetal_Thymus | DNase.hot | Roadmap,0.063172214
2502,HCT-116_Colon | CTCF | ID:46218,0.063150436
5165,A549_Epithelium_Lung | SMC3 | ID:63687,0.06314149
1838,NHLF_Fibroblast_Lung | EZH2 | ID:45498,0.06308268
7498,H9_Embryonic_Stem_Cell_Embryo | TFAP2C | ID:81808,0.063048854
5600,K562_Erythroblast_Bone_Marrow | CBX1 | ID:64916,0.06302304
4603,Raji_B_Lymphocyte_Blood | POLR2A | ID:58942,0.06302193
8173,Embryonic_Stem_Cell | NANOG | ID:86533,0.06298596
9462,T-47D (DMSO_0.02pct) | FOXA1 | ENCODE,0.0629756
5119,HepG2_Epithelium_Liver | SOX13 | ID:63594,0.062962554
3174,A673_Polygonal_Muscle | FLI1 | ID:49879,0.06295709
1242,DU145_Epithelium_Prostate | RING1 | ID:41489,0.06294694
1765,Stromal_Cell_Adipose | PPARG | ID:4494,0.06292573
3440,HUES64_Embryonic_Stem_Cell_Embryo | GATA4 | ID:51469,0.06289613
3688,HEK293_Epithelium_Embryonic_Kidney | FOXM1 | ID:53259,0.062846206
3111,MCF-7_Epithelium_Breast | MED1 | ID:49652,0.06284284
3358,Epithelium | UBTF | ID:50729,0.06283986
3741,TSU-1621-MT | SPI1 | ID:53549,0.062746294
6000,Kasumi-1_Acute_myeloid_leukemia | NR4A1 | ID:68310,0.06269158
2980,HeLa_Epithelium_Cervix | ELL2 | ID:49001,0.062622935
4677,A549_Epithelium_Lung | BCL3 | ID:62535,0.062590875
6902,D283_Med | NEUROD1 | ID:74342,0.06258607
2690,SUM159PT_Epithelium_Mammary_Gland | KDM5B | ID:47278,0.06257829
1449,LoVo_Colon | FOXP1 | ID:42760,0.06256144
7615,K562_Erythroblast_Bone_Marrow | POLR2A | ID:82581,0.06255401
8029,N87_Stomach | BRD4 | ID:85397,0.062467717
2243,K562_Erythroblast_Bone_Marrow | EP300 | ID:45963,0.062398873
2289,NB4_Promyelocytic_cell_Blood | POLR2A | ID:46010,0.06238134
3271,HEK293_Epithelium_Embryonic_Kidney | DDX21 | ID:50210,0.06234677
6532,BT-16_Brain | SMARCC1 | ID:72122,0.062321875
1987,H1_Embryonic_Stem_Cell_Embryo | NRF1 | ID:45697,0.06230776
2123,Fibroblast_Pulmonary_Artery | CTCF | ID:45840,0.06227749
1417,MS1_Lymphoblastoid_Blood | CTCF | ID:42571,0.06222403
1876,GM06990_B_Lymphocyte_Blood | CTCF | ID:45582,0.062214557
154,LNCaP_Epithelium_Prostate | AR | ID:2181,0.06219004
6021,Patient_derived_xenograft_cells | KMT2D | ID:68632,0.062171075
1671,LNCaP_Epithelium_Prostate | E2F1 | ID:44329,0.062163625
1652,Jurkat_E6-1_T_Lymphocyte_Blood | POLR2A | ID:44237,0.062155854
4676,A549_Epithelium_Lung | BCL3 | ID:62534,0.06214091
3865,T47D_Epithelium_Mammary_Gland | PR | ID:54068,0.062139772
2169,K562_Erythroblast_Bone_Marrow | NRF1 | ID:45886,0.06212225
4564,THP-1_Monocyte_Blood | PPARG | ID:5882,0.062121924
8479,MCF-7_Epithelium_Breast | ESR1 | ID:88345,0.062115602
5999,Kasumi-1_Acute_myeloid_leukemia | NR4A1 | ID:68309,0.0621151
2206,K562_Erythroblast_Bone_Marrow | MAX | ID:45926,0.06209968
4863,GM12878_B_Lymphocyte_Blood | YBX1 | ID:62978,0.062049672
5766,MCF-7_Epithelium_Breast | ESR1 | ID:6563,0.062022537
9395,Ovary | DNase.all.peaks | Roadmap,0.061997388
7825,Proerythroblast_Blood | GATA1 | ID:8409,0.061992615
8598,HCT-116_Colon | CBX3 | ID:9228,0.061978307
2435,GM12891_Lymphoblastoid_Blood | POLR2A | ID:46152,0.06195981
1317,Jurkat_T_Lymphocyte_Blood | POLR2A | ID:42171,0.06191986
5908,LP-1 | EP300 | ID:67835,0.061896265
2120,Epithelium_Mammary_Gland | CTCF | ID:45837,0.061881606
6290,MDA-MB-453_Breast | AR | ID:70141,0.061843272
4852,MCF-7_Epithelium_Breast | SREBF1 | ID:62956,0.061772916
1086,MCF-7_Epithelium_Breast | FOXM1 | ID:39495,0.06174958
7927,22RV1_Epithelium_Prostate | FOXA1 | ID:84613,0.061728206
8509,DLD-1 | POLR2A | ID:88510,0.06170372
1594,THP-1_Monocyte_Blood | CTCF | ID:43831,0.061676476
6423,LNCaP_Epithelium_Prostate | FOXA1 | ID:71218,0.061637856
215,MCF-7_Epithelium_Breast | TFAP2C | ID:2403,0.061620526
9046,HeLa-S3 | SPT20 | ENCODE,0.061557565
2646,SK-N-SH_Neuroblastoma_cell_Brain | SIN3A | ID:46360,0.061447877
7995,Macrophage_Blood | MAF | ID:85111,0.06144382
3956,MCF-7_Epithelium_Breast | NCAPG | ID:54633,0.061414294
7992,J-Lat_A72 | POLR2A | ID:85083,0.061400793
5249,HEK293_Epithelium_Embryonic_Kidney | ZNF641 | ID:63951,0.0613221
3571,HeLa_Epithelium_Cervix | LMNA | ID:52222,0.061272938
5286,Stomach | CTCF | ID:64044,0.06125275
5207,A549_Epithelium_Lung | FOSL2 | ID:63828,0.061241683
2918,BEAS-2B_Epithelium_Lung | CTCF | ID:48482,0.06123836
6359,Progenitor_Cells | MED12 | ID:70966,0.06121257
6183,Hematopoietic_stem_and_progenitor_cell | CTCF | ID:69621,0.061183687
7150,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:76222,0.061145265
8127,VCaP_Epithelium_Prostate | ERG | ID:86006,0.060991153
9186,K562 | ATF3 | ENCODE,0.060967732
2890,Keratinocyte | SNAI2 | ID:48331,0.060964495
2348,A549_Epithelium_Lung | REST | ID:46069,0.060956113
8574,JHU-06_Endothelial_Cell | RELA | ID:88945,0.060922045
5422,Skin | CTCF | ID:64413,0.060897894
3318,GM12891_Lymphoblastoid_Blood | CTCF | ID:5042,0.060883433
2562,K562_Erythroblast_Bone_Marrow | ETS1 | ID:46278,0.06087749
1802,Endothelial_Cell_Umbilical_Vein | CTCF | ID:45359,0.060871135
9170,IMR90_Cell_Line | DNase.fdr0.01.peaks | Roadmap,0.06086071
9252,K562 (IFNg6h) | IRF1 | ENCODE,0.060784183
3500,HUES64_Embryonic_Stem_Cell_Embryo | TRIM28 | ID:51616,0.06072075
5385,HEK293_Epithelium_Embryonic_Kidney | ZNF837 | ID:64307,0.060712613
5894,SUM185PE | BRD4 | ID:67795,0.06069166
8251,LNCaP_Epithelium_Prostate | AR | ID:87051,0.06066018
2650,SK-N-SH_RA_Neuron_Brain | YY1 | ID:46364,0.06064935
420,T47D_Epithelium_Mammary_Gland | ESR1 | ID:33513,0.060634896
2317,SK-N-SH_Neuroblastoma_cell_Brain | MXI1 | ID:46038,0.060492206
6128,VCaP_Epithelium_Prostate | ERG | ID:69266,0.060489826
1682,LNCaP_Epithelium_Prostate | E2F1 | ID:44340,0.0604837
5858,LNCaP_Epithelium_Prostate | CREB1 | ID:67714,0.060369525
9449,SK-N-SH_RA | Rad21 | ENCODE,0.060242582
6076,ZR-75-1_Embryonic_Stem_Cell_Breast | ESR1 | ID:68861,0.060236942
3476,HUES64_Embryonic_Stem_Cell_Embryo | SMAD1 | ID:51557,0.06022011
2635,SK-N-SH_Neuroblastoma_cell_Brain | MAX | ID:46349,0.06013906
764,A549_Epithelium_Lung | POLR2A | ID:36345,0.06010654
9040,HeLa-S3 | Pol2(phosphoS2) | ENCODE,0.0601045
8415,K562_Erythroblast_Bone_Marrow | RBBP5 | ID:8794,0.060027875
8808,GM12878 | Mxi1 | ENCODE,0.060014028
7672,Detroit_562_Detroit_562_cells | RELA | ID:83028,0.06000325
2932,OCI-Ly10_B_Lymphocyte_Bone_Marrow | IRF4 | ID:48628,0.05997086
3300,Proerythroblast_Fetal_Liver | EZH2 | ID:50379,0.059840966
9461,T-47D (Genistein_100nM) | ERalpha | ENCODE,0.059816234
8231,Breast | PR | ID:86901,0.05979429
1068,HCT-116_Colon | USP49 | ID:39345,0.059777807
8764,GM10847 | Pol2 | ENCODE,0.059766516
7931,MDA-MB-231_mDA | STAT3 | ID:84619,0.059760965
1921,GM12878_B_Lymphocyte_Blood | ZNF143 | ID:45629,0.059701458
9324,K562 | USF2 | ENCODE,0.05968826
5039,gastroesophageal_sphincter | POLR2A | ID:63403,0.059641648
987,LoVo_Colon | PHF20 | ID:38681,0.05963381
1062,H2171_Epithelium_Lung | BRD4 | ID:39035,0.05961142
7474,PC-9_Lung_Cancer_Cell_Lung | BRD4 | ID:81608,0.05960015
4295,KELLY | GATA3 | ID:56401,0.059535164
5416,GM12878_B_Lymphocyte_Blood | SUZ12 | ID:64382,0.05949717
546,HCT-116_Colon | MECP2 | ID:34400,0.05944428
8455,MCF-7_Epithelium_Breast | CTCF | ID:88132,0.059414886
6393,VCaP_Epithelium_Prostate | CTCF | ID:71105,0.059385058
4878,HEK293_Epithelium_Embryonic_Kidney | ZNF8 | ID:63006,0.059337832
8858,GM12878 | ZEB1 | ENCODE,0.059333958
2757,AGS_Epithelium_Stomach | GATA6 | ID:47599,0.05923675
9215,K562 | COREST | ENCODE,0.05917662
1412,GM2630_Lymphoblastoid_Blood | STAG1 | ID:42566,0.05910447
694,HEK293_Epithelium_Embryonic_Kidney | BRD3 | ID:35874,0.05909708
6092,MCF-7_Epithelium_Breast | NR3C1 | ID:68877,0.059037577
1595,THP-1_Monocyte_Blood | RAD21 | ID:43832,0.058954466
5832,BT-549_Breast | JUN | ID:67574,0.058940936
2074,HepG2_Epithelium_Liver | MAZ | ID:45788,0.05892981
8407,AGS_gastric_cancer_cell_line | FXR1 | ID:87921,0.058918152
1572,Fibroblast_Foreskin | RING1 | ID:43571,0.05884735
8019,HeLa_Epithelium_Cervix | POLR2A | ID:85296,0.058822762
7869,K562_Erythroblast_Bone_Marrow | SMAD1 | ID:8432,0.058820173
936,FB8470_Fibroblast | MYC | ID:38195,0.05875695
2338,A549_Epithelium_Lung | ELF1 | ID:46059,0.058724046
8794,GM12878 | ELF1 | ENCODE,0.05871532
2815,GM12878_B_Lymphocyte_Blood | EP300 | ID:47886,0.058713216
5367,MCF-7_Epithelium_Breast | ZNF592 | ID:64278,0.058704305
3122,GM12878_B_Lymphocyte_Blood | RELA | ID:4970,0.0586074
2871,GM12878_B_Lymphocyte_Blood | REST | ID:48300,0.058593906
1437,LoVo_Colon | GLI2 | ID:42715,0.058554173
5752,Saos-2_Osteosarcoma_cell_Bone | TP53 | ID:6548,0.05854287
6429,LNCaP_Epithelium_Prostate | AR | ID:71227,0.05853552
8532,Embryonic_Stem_Cell_epithelioid_sarcoma | SUZ12 | ID:88642,0.058531348
5486,K562_Erythroblast_Bone_Marrow | HDAC8 | ID:64617,0.05846603
4582,HEK293_Epithelium_Embryonic_Kidney | XRN2 | ID:58846,0.058461495
3516,ZR-75-1_Epithelium_Mammary_Gland | POLR2A | ID:51805,0.058402922
1395,GM2255_Lymphoblastoid_Blood | CTCF | ID:42505,0.05839293
1411,GM2630_Lymphoblastoid_Blood | CTCF | ID:42554,0.058374498
7201,ZR-75-30 | ZMYND8 | ID:76498,0.058319103
3598,Coronary_artery_smooth_muscle | TCF21 | ID:52498,0.05830948
929,FB0167P_Fibroblast | POLR2A | ID:38187,0.058285672
9156,HUVEC | CTCF | ENCODE | 1,0.058276743
783,Myoblast_Skeletal_Muscle | CTCF | ID:36650,0.0582198
1543,KB_Cell_Epithelium_HeLa_contaminant | CDK6 | ID:43305,0.05820319
5609,A549_Epithelium_Lung | NR3C1 | ID:64932,0.058194995
6503,HepG2_hepatocellular_carcinoma | MED1 | ID:71874,0.05818614
3257,C4-2_Epithelium | PR | ID:50151,0.058160383
9275,K562 | Pol2(b) | ENCODE,0.05811736
6158,Foreskin | TP53 | ID:69457,0.058033064
6817,293T | ZNF547 | ID:73943,0.05801199
4476,Myeloid_Cell | KDM2B | ID:58086,0.05793525
5435,Colon | CTCF | ID:64457,0.057900168
5842,CFPAC-1_Pancreatic_ductal | KLF5 | ID:67611,0.057864446
5874,LNCaP_Epithelium_Prostate | GATA2 | ID:67743,0.05781169
4346,LHSAR_Epithelium_Prostate | FOXA1 | ID:56665,0.057805307
316,HeLa_Epithelium_Cervix | TERC | ID:32856,0.057797514
1972,H1_Embryonic_Stem_Cell_Embryo | MAX | ID:45682,0.057768956
8156,Akata_B_Lymphocyte | BRD4 | ID:86429,0.05775999
5206,A549_Epithelium_Lung | FOSL2 | ID:63827,0.05775571
3169,GM15510_Lymphoblastoid_Blood | POLR2A | ID:4987,0.05771738
5636,K562_Erythroblast_Bone_Marrow | DNMT1 | ID:65041,0.057710588
7581,K562_Erythroblast_Bone_Marrow | POLR2A | ID:82356,0.057690047
4240,Prostate | AR | ID:56111,0.057650592
1924,GM12878_B_Lymphocyte_Blood | CTCF | ID:45631,0.057647493
847,U87_Brain | POLR2A | ID:37166,0.05764037
1009,LoVo_Colon | ELF2 | ID:38739,0.057586346
3504,HUES64_Embryonic_Stem_Cell_Embryo | HAND1 | ID:51631,0.05756914
643,OCI-Ly1_B_cell_lymphoma_Bone_Marrow | POLR2A | ID:35532,0.057557516
9019,HeLa-S3 | ELK4 | ENCODE,0.057530757
4986,HEK293_Epithelium_Embryonic_Kidney | OSR2 | ID:63286,0.057455726
4110,HCT-116_Colon | POLR2A | ID:55663,0.057432305
5695,HEK293_Epithelium_Embryonic_Kidney | ZBTB18 | ID:65137,0.0574291
3303,GM12878_B_Lymphocyte_Blood | CTCF | ID:5039,0.057417225
4094,B_Lymphocyte | PAX5 | ID:55576,0.057375517
7195,MDA-MB-231_Epithelium_Mammary_Gland | USP7 | ID:76457,0.057365537
2428,GM12878_B_Lymphocyte_Blood | STAT5A | ID:46146,0.05733443
5968,U2OS_Bone | CLOCK | ID:68103,0.057307538
9042,HeLa-S3 | Rad21 | ENCODE,0.057272315
3006,Fibroblast_Skin | POLR2A | ID:49037,0.057259623
2472,H1_Embryonic_Stem_Cell_Embryo | SIX5 | ID:46188,0.057204958
8889,GM19099 | Pol2 | ENCODE,0.057200767
2988,HeLa_Epithelium_Cervix | CPSF3L | ID:49009,0.057190713
5436,A549_Epithelium_Lung | EP300 | ID:64458,0.057183728
9289,K562 | Rad21 | ENCODE | 1,0.057148796
8042,Embryonic_Stem_Cell | GATA2 | ID:85433,0.05712022
7752,hESC | NKX2-1 | ID:83559,0.057113253
5777,MCF-7_Epithelium_Breast | CTCF | ID:6575,0.057101466
263,V6.5_Embryonic_Stem_Cell | SMC1A | ID:2896,0.057062235
9177,iPS_DF_19.11_Cell_Line | DNase.fdr0.01.hot | Roadmap,0.05701763
6910,D-341 | OTX2 | ID:74350,0.057003707
1574,Jurkat_T_Lymphocyte_Blood | CDK7 | ID:43592,0.056978572
854,Monocyte_Blood | IRF5 | ID:37183,0.056976777
5185,HepG2_Epithelium_Liver | NR2F6 | ID:63771,0.056966577
6545,Gen2.2_Plasmacytoid_dendritic_cell | POLR2A | ID:72346,0.056963533
7140,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:76207,0.056929782
2982,HeLa_Epithelium_Cervix | ELL2 | ID:49003,0.056912925
2714,VCaP_Epithelium_Prostate | ERG | ID:47409,0.056827478
4007,HeLa_Epithelium_Cervix | POLR2A | ID:55202,0.056818873
3114,MCF-7_Epithelium_Breast | ESR1 | ID:49656,0.056802753
1429,LoVo_Colon | MAFG | ID:42692,0.05678116
2624,PFSK-1_Neuron_Brain | REST | ID:46338,0.05677919
1938,GM12878_B_Lymphocyte_Blood | ZZZ3 | ID:45648,0.056774046
8495,T47D_Epithelium_Mammary_Gland | PR | ID:88449,0.05674879
1547,B_Lymphocyte | EBNA3C | ID:43364,0.056717012
6940,MCF-7_Breast | ESR1 | ID:74401,0.056712154
8780,GM12878 | CEBPB | ENCODE,0.056709748
1719,VCaP_Epithelium_Prostate | AR | ID:44582,0.05668502
8432,LNCaP_Epithelium_Prostate | AR | ID:88049,0.056664072
6612,Breast | ESR1 | ID:72506,0.056626257
7307,293T | ZNF468 | ID:77113,0.056619108
9232,K562 | ELF1 | ENCODE,0.05661853
9126,HepG2 | TBP | ENCODE,0.056597862
8850,GM12878 | TCF3 | ENCODE,0.05659571
1493,GP5d_Colon | REST | ID:42943,0.05659554
4435,Nalm6_B_cell_precursor_Blood | IKZF1 | ID:57640,0.056592304
611,Pancreatic_Islet | FAIRE | ID:35312,0.05658679
7230,Fibroblast_Fetal_Lung | NEUROG2 | ID:76814,0.056554276
9329,K562 | ZBTB7A | ENCODE,0.056501307
5194,HepG2_Epithelium_Liver | ZBTB40 | ID:63800,0.05648592
6876,MCF-7_Breast | ESR1 | ID:74159,0.056467522
1546,B_Lymphocyte | EBNA3C | ID:43363,0.05638597
5927,L1236_Hodgkin_Lymphoma_Cell | NFKB1 | ID:68051,0.056323852
2160,K562_Erythroblast_Bone_Marrow | TBL1XR1 | ID:45876,0.056308545
665,WI-38_Fibroblast_Lung | PIAS4 | ID:35708,0.056302864
5773,MCF-7_Epithelium_Breast | FOXA1 | ID:6571,0.056280423
8449,HCT-116_HCT116 | POLR2A | ID:88099,0.05624275
9098,HepG2 | MAZ | ENCODE,0.056218293
9023,HeLa-S3 | HA-E2F1 | ENCODE,0.056190338
1031,LoVo_Colon | ZFAT | ID:38796,0.05617881
3845,MCF-7_Epithelium_Breast | PR | ID:54019,0.05617775
2763,BCBL1_B_cell_lymphoma | POLR2A | ID:47726,0.0561751
8304,TIME_Fibroblast | POLR2A | ID:87447,0.056134224
4663,IMR90_Fibroblast_Lung | SMC3 | ID:62504,0.05612135
9171,IMR90_Cell_Line | DNase.hot | Roadmap,0.056046955
8900,H1_BMP4_Derived_Trophoblast_Cultured_Cells | DNase.fdr0.01.hot | Roadmap,0.05602683
8305,TIME_Fibroblast | POLR2A | ID:87448,0.0560086
8313,Breast | ESR1 | ID:87458,0.056008592
217,MCF-7_Epithelium_Breast | TRIM24 | ID:2405,0.05598828
7487,Fibroblast_Skin | ATF3 | ID:81700,0.05592554
7746,MCF-10A_Epithelium_Breast | NR3C1 | ID:83502,0.055919345
6975,GM12878_B_Lymphocyte_Blood | ETV6 | ID:74647,0.055915408
8874,GM12892 | PAX5-C20 | ENCODE,0.055914924
8677,CD19_Primary_Cells_Peripheral_ | DNase.all.peaks | Roadmap,0.05589365
2859,GM12878_B_Lymphocyte_Blood | SPI1 | ID:48275,0.055889174
2260,MCF-7_Epithelium_Breast | GATA3 | ID:45981,0.055873185
3021,293T-Rex | SCML2 | ID:49258,0.05587027
6780,Spleen | AFF1 | ID:73709,0.055813953
4399,Colon | DACOR1 | ID:56997,0.055796765
9366,Mobilized_CD34_Primary_Cells_Female | DNase.all.peaks | Roadmap,0.05572364
1983,H1_Embryonic_Stem_Cell_Embryo | CTBP2 | ID:45693,0.05571613
1482,GP5d_Colon | MYC | ID:42926,0.05569676
804,MCF-7_Epithelium_Breast | KLF4 | ID:36821,0.05558437
3407,VCaP_Epithelium_Prostate | FOXA1 | ID:51272,0.05558169
5065,K562_Erythroblast_Bone_Marrow | POLR2A | ID:63453,0.05551608
8146,MCF-7_Epithelium_Breast | ESR1 | ID:86282,0.05550566
3120,GM12878_B_Lymphocyte_Blood | RELA | ID:4969,0.05546825
5411,GM12878_B_Lymphocyte_Blood | TBX21 | ID:64375,0.05535592
4294,GM10861_Lymphocyte_Blood | VDR | ID:564,0.055353545
5967,U2OS_Bone | CRY1 | ID:68102,0.055338275
414,Epithelium_Mammary_Gland | ESR1 | ID:33506,0.055287186
2218,K562_Erythroblast_Bone_Marrow | JUN | ID:45938,0.05528191
8852,GM12878 | USF-1 | ENCODE,0.05526933
7503,Leukemia | NOTCH3 | ID:81879,0.05525381
8906,H1_Derived_Mesenchymal_Stem_Cells | DNase.hot | Roadmap,0.055252858
5282,HepG2_Epithelium_Liver | HBP1 | ID:64038,0.055211306
4472,Myeloid_Cell | KDM2B | ID:58074,0.05513914
2553,K562_Erythroblast_Bone_Marrow | YY1 | ID:46269,0.05510045
3184,GM10847_Lymphoblastoid_Blood | POLR2A | ID:4995,0.055023387
3025,293T-Rex | BMI1 | ID:49267,0.05499827
5821,MDA-MB-231_Epithelium_Mammary_Gland | GATA3 | ID:67517,0.054956652
3055,Retinal_pigment_cell | E2F4 | ID:49480,0.054936297
312,HeLa_Epithelium_Cervix | TERC | ID:32850,0.054924127
775,GM12878_B_Lymphocyte_Blood | CTCF | ID:36575,0.05491635
9305,K562 (IFNg30) | STAT1 | ENCODE,0.054905202
2090,HepG2_Epithelium_Liver | USF2 | ID:45804,0.054895613
1247,"GM06993,_GM11992_Lymphoblastoid_Blood | TP53 | ID:41496",0.054891735
9364,MCF-7 | TCF7L2 | ENCODE,0.054859143
9162,HUVEC | Pol2(b) | ENCODE,0.05485562
7768,Breast | NR3C1 | ID:83626,0.05481703
6292,MDA-MB-453_Breast | AR | ID:70143,0.054814156
6960,Prostate | CHD1 | ID:74566,0.05475269
7986,MCF-10A_Epithelium_Breast | POLR2A | ID:85073,0.054728042
1353,GM12892_Lymphoblastoid_Blood | CTCF | ID:42333,0.05470332
4756,K562_Erythroblast_Bone_Marrow | ZMYM3 | ID:62709,0.054679733
2878,GM12878_B_Lymphocyte_Blood | REST | ID:48307,0.054678038
9063,HepG2 | BHLHE40 | ENCODE | 1,0.054645505
5483,HEK293_Epithelium_Embryonic_Kidney | FEZF1 | ID:64604,0.054619126
5113,HEK293_Epithelium_Embryonic_Kidney | ZNF239 | ID:63580,0.054583307
8007,MKL-1_Merkel_cell_carcinoma | EP400 | ID:85166,0.05457238
10,H9_Embryonic_Stem_Cell_Embryo | SMAD2/3 | ID:1083,0.05452507
8032,H3122_Lung | BRD4 | ID:85401,0.054505505
4926,K562_Erythroblast_Bone_Marrow | PBX2 | ID:63132,0.054453604
877,Hematopoietic_Cell | MYH11 | ID:37589,0.054451462
3119,GM18526_Lymphoblastoid_Blood | RELA | ID:4968,0.054442335
2460,H1_Embryonic_Stem_Cell_Embryo | SP2 | ID:46176,0.054428816
1654,LNCaP_Epithelium_Prostate | AR | ID:44311,0.054311547
2804,Jurkat_T_Lymphocyte_Blood | REST | ID:47867,0.054298043
7450,K562_Erythroblast_Bone_Marrow | POLR2A | ID:81394,0.054285657
3423,HUES64_Embryonic_Stem_Cell_Embryo | CTCF | ID:51443,0.05423578
8896,H1_BMP4_Derived_Mesendoderm_Cultured_Cells | DNase.fdr0.01.hot | Roadmap,0.054203805
288,Adipocyte_Adipose | E2F4 | ID:3225,0.054193567
8158,HeLa_Cervical_Carcinoma | CTCF | ID:86441,0.054082
1529,CUTLL1_T_Lymphocyte_Blood | NOTCH1 | ID:43104,0.054006424
4411,MCF-7_Epithelium_Breast | FOXM1 | ID:57118,0.053997733
1933,GM12878_B_Lymphocyte_Blood | STAT1 | ID:45643,0.053982046
145,K562_Erythroblast_Bone_Marrow | SETDB1 | ID:2124,0.053963613
7388,Endothelial_Cell_Umbilical_Vein | CTCF | ID:8088,0.053921748
4895,Liver | RAD21 | ID:63055,0.05385279
4839,HEK293_Epithelium_Embryonic_Kidney | ZNF341 | ID:62931,0.05384346
1320,Jurkat_T_Lymphocyte_Blood | POLR2A | ID:42174,0.05380578
6512,U2OS_Bone | MYC | ID:71935,0.053800456
27,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:1191,0.05378773
3626,MCF-7_Epithelium_Breast | ESR1 | ID:52611,0.05376344
4698,MCF-7_Epithelium_Breast | GABPA | ID:62589,0.053731803
4990,A549_Epithelium_Lung | FOSL2 | ID:63299,0.05368138
7168,LCL_Lymphoblastoid_Blood | YY1 | ID:76294,0.05362507
4752,K562_Erythroblast_Bone_Marrow | ZNF24 | ID:62704,0.053602234
347,ZR-75-1_Epithelium_Mammary_Gland | ESR1 | ID:33147,0.053575125
9370,Mobilized_CD34_Primary_Cells_Male | DNase.all.peaks | Roadmap,0.05356891
4823,HEK293_Epithelium_Embryonic_Kidney | ZNF346 | ID:62899,0.053566236
454,Th2 | GATA3 | ID:33680,0.05353006
9134,HepG2 | ZBTB33 | ENCODE,0.0534938
940,H54_Glial_Cell_Brain | MYC | ID:38200,0.053464532
1685,Endothelial_Cell_Umbilical_Vein | POLR2A | ID:44352,0.053440753
3089,MCF-7_Epithelium_Breast | RARG | ID:49623,0.053378686
2535,HepG2_Epithelium_Liver | MBD4 | ID:46251,0.053341728
8121,HeLa_Epithelium_Cervix | EMSY | ID:85993,0.053331193
2754,YCC3_Epithelium | GATA6 | ID:47595,0.05330298
4009,BicR_Epithelium_Prostate | AR | ID:55273,0.053291496
536,HeLa_Epithelium_Cervix | SUMO1 | ID:34371,0.053276088
26,HEK293_Epithelium_Embryonic_Kidney | TRIM28 | ID:1178,0.053227644
1826,K562_Erythroblast_Bone_Marrow | CHD1 | ID:45426,0.05318673
7692,MCF-7_Epithelium_Breast | ESR1 | ID:83186,0.053175565
4723,K562_Erythroblast_Bone_Marrow | RNF2 | ID:62638,0.053090148
8144,MCF-7_Epithelium_Breast | ESR1 | ID:86212,0.05306211
4126,HeLa_Epithelium_Cervix | POLR2A | ID:5568,0.05298174
7382,U266B1 | TFDP1 | ID:77534,0.052978367
5019,K562_Erythroblast_Bone_Marrow | C11orf30 | ID:63362,0.0529644
4874,A549_Epithelium_Lung | BCL3 | ID:63001,0.052951273
1304,HCT-116_Colon | CTCF | ID:42148,0.052933663
3108,GM18951_Lymphoblastoid_Blood | RELA | ID:4965,0.05289033
8050,LS174T_Epithelium_Colon | POLR2A | ID:8547,0.052861482
2145,IMR90_Fibroblast_Lung | CEBPB | ID:45861,0.052855216
3061,Jurkat_T_Lymphocyte_Blood | CDK7 | ID:49494,0.052823383
846,H2171_Epithelium_Lung | POLR2A | ID:37165,0.0528132
4281,MOLM-14_Myeloid_Cell | POLR2A | ID:56347,0.0527775
8118,Monocyte_Blood | CEBPB | ID:85984,0.052668154
8846,GM12878 | TAF1 | ENCODE,0.05266049
2225,K562_Erythroblast_Bone_Marrow | NFYA | ID:45945,0.05263793
8570,J-Lat_A72 | POLR2A | ID:88927,0.052630965
7085,Retina | POLR2A | ID:75516,0.052604035
7014,HepG2_Epithelium_Liver | KLF10 | ID:74686,0.052585956
5287,K562_Erythroblast_Bone_Marrow | HINFP | ID:64045,0.05248958
6085,MCF-7_Epithelium_Breast | FOXA1 | ID:68870,0.052483205
1110,Kasumi-1_Myeloblast_Blood | REPIN1 | ID:39777,0.052427668
3168,SK-N-MC_Brain | GABPA | ID:49869,0.05234811
1839,Haematopoietic_Progenitor_Cell_Cord_blood | SPI1 | ID:4550,0.05228661
6622,A375_Melanoma_Cell | HEXIM1 | ID:72608,0.052285388
2100,HepG2_Epithelium_Liver | SMC3 | ID:45816,0.052273903
5664,HEK293_Epithelium_Embryonic_Kidney | CTCF | ID:65093,0.052248437
2137,Endothelial_Cell_Umbilical_Vein | FOS | ID:45853,0.05224546
3408,VCaP_Epithelium_Prostate | POLR2A | ID:51273,0.052227337
2195,K562_Erythroblast_Bone_Marrow | SMC3 | ID:45914,0.05219901
