,Target,Weights
2677,MCF-7_Epithelium_Breast | POLR2A | ID:47114,0.09215004
3126,NCI-H128_Epithelium_Lung | ASCL1 | ID:49724,0.092078105
8491,MCF-7_Epithelium_Breast | SUMO2 | ID:88438,0.09207262
3182,Neural_Progenitor_Cell | OTX2 | ID:49947,0.092013165
6728,SUM229_Mammary_carcinoma_cell_Breast | BRD4 | ID:73503,0.09197599
2160,K562_Erythroblast_Bone_Marrow | TBL1XR1 | ID:45876,0.09194809
4381,HeLa_Epithelium_Cervix | GTF2B | ID:56958,0.09193082
9398,Ovary | DNase.hot | Roadmap,0.09190372
5913,HEK293T_Epithelium_Embryonic_Kidney | TET2 | ID:67858,0.091765106
3215,LNCaP_Epithelium_Prostate | AR | ID:50045,0.09174366
1587,MM1.S_B_Lymphocyte_Blood | CDK9 | ID:43741,0.09173409
2650,SK-N-SH_RA_Neuron_Brain | YY1 | ID:46364,0.091713764
8880,GM15510 (TNFa) | NFKB | ENCODE,0.09163169
1792,HeLa-S3_Epithelium_Cervix | CTCF | ID:45279,0.09161538
8039,Embryonic_Stem_Cell | TFAP2A | ID:85423,0.09159803
8522,OCI-Ly1_B_cell_lymphoma_Bone_Marrow | BCL6 | ID:88598,0.091549166
20,HCT-116_Colon | POLR2A | ID:1152,0.09149274
3978,HCT-116_Colon | TCF4 | ID:54669,0.091407426
4464,Kasumi-1_Myeloblast_Blood | RUNX1 | ID:58031,0.09132282
3802,T47D_Epithelium_Mammary_Gland | ESR1 | ID:53959,0.091301605
7732,CLB-Ga_Neuroblastoma_cell | PHOX2B | ID:83392,0.09116863
319,U2OS_Bone | FOXM1 | ID:32890,0.09116371
7734,MCF-7_Epithelium_Breast | ESR1 | ID:83427,0.091101274
4134,HeLa_Epithelium_Cervix | POLR2A | ID:5571,0.09106694
2465,H1_Embryonic_Stem_Cell_Embryo | HDAC2 | ID:46181,0.09106579
7204,KG1_Acute_myeloid_leukemia | CREB1 | ID:76509,0.09105858
683,LNCaP_Epithelium_Prostate | AR | ID:35779,0.09101829
2679,MCF-7_Epithelium_Breast | POLR2A | ID:47116,0.09097993
4682,HEK293_Epithelium_Embryonic_Kidney | ZNF600 | ID:62554,0.0909664
3009,HeLa_Epithelium_Cervix | EMX1 | ID:49183,0.09093264
9147,HRPEpiC | CTCF | ENCODE,0.09093057
9274,K562 | Pol2-4H8 | ENCODE,0.09090091
7338,293T | ZNF169 | ID:77169,0.09082514
126,JURL_MK1_Haematopoietic_Progenitor_Cell_Bone_Marrow | BCL6 | ID:1958,0.09077233
5776,MCF-7_Epithelium_Breast | CTCF | ID:6574,0.09074603
1466,LoVo_Colon | ZNF12 | ID:42882,0.09073591
3195,GM18951_Lymphoblastoid_Blood | POLR2A | ID:4999,0.090704806
2281,MCF-10A_Epithelium_Breast | STAT3 | ID:46002,0.09065923
4232,MDA-MB-231_Epithelium_Breast | NR3C1 | ID:56102,0.09065001
39,HeLa_Epithelium_Cervix | GLYR1 | ID:1221,0.09063253
4007,HeLa_Epithelium_Cervix | POLR2A | ID:55202,0.090612344
7481,HEK293_Epithelium_Embryonic_Kidney | NCAPH2 | ID:81621,0.09060623
1273,HEK293_Epithelium_Embryonic_Kidney | SUMO2 | ID:41741,0.09054083
7074,HeLa | ZBTB48 | ID:75283,0.09048345
7686,hESC | RNF2 | ID:83146,0.09047398
8174,H9_Embryonic_Stem_Cell_Embryo | NANOG | ID:86534,0.09046678
1041,LoVo_Colon | FOXG1 | ID:38827,0.09038026
8833,GM12878 | Rad21 | ENCODE,0.09035667
3559,IMR90_Fibroblast_Lung | TP53 | ID:52104,0.09025929
2209,K562_Erythroblast_Bone_Marrow | SIRT6 | ID:45929,0.09023625
2687,T47D_Epithelium_Mammary_Gland | KDM5B | ID:47273,0.09019264
8366,hESC | NKX2-1 | ID:87738,0.09014075
3081,MCF-7_Epithelium_Breast | RARA | ID:49614,0.090113066
7190,hESC | POLR2A | ID:76418,0.09009117
645,HeLa-S3_Epithelium_Cervix | SFMBT1 | ID:35569,0.08999007
3055,Retinal_pigment_cell | E2F4 | ID:49480,0.089979276
5699,HEK293_Epithelium_Embryonic_Kidney | ZNF320 | ID:65142,0.089977324
3745,Adipocyte | MED1 | ID:53595,0.08997184
3430,HUES64_Embryonic_Stem_Cell_Embryo | FOXA1 | ID:51453,0.08992186
8150,T47D_Epithelium_Mammary_Gland | GATA3 | ID:86317,0.08991263
4557,Th1 | MYB | ID:58804,0.089890406
7827,Retina | RPE | ID:84107,0.08987778
6218,HT29_colorectal_adenocarcinoma | PPARG | ID:69797,0.0898457
7868,K562_Erythroblast_Bone_Marrow | GATA2 | ID:8431,0.089828506
139,K562_Erythroblast_Bone_Marrow | NFYB | ID:2095,0.089813866
1359,GM18486_Lymphoblastoid_Blood | CTCF | ID:42355,0.08979738
8513,SH-EP | POLR2A | ID:88566,0.089770116
5810,MDA-MB-231_Epithelium_Mammary_Gland | GATA3 | ID:67494,0.089760594
6977,GM12878_B_Lymphocyte_Blood | TP73 | ID:74649,0.08975769
8752,Fetal_Thymus | DNase.fdr0.01.peaks | Roadmap,0.08972174
4082,H3396_Epithelium_Mammary_Gland | CREB1 | ID:5554,0.08972006
6569,NOMO-1_Acute_myeloid_leukemia | BRD9 | ID:72398,0.089664996
1150,B_Lymphocyte_Blood | CDK7 | ID:40055,0.089651324
1285,iPSC | JARID2 | ID:41797,0.089601934
8360,K562_Erythroblast_Bone_Marrow | CHD7 | ID:8771,0.08955628
7202,ZR-75-30 | ZMYND8 | ID:76499,0.089513436
1059,MM1.S_B_Lymphocyte_Blood | MED1 | ID:39017,0.089480616
5933,MCF-7_Breast | ESR1 | ID:68057,0.08947257
6839,Thymus | BCL11B | ID:73985,0.08942436
5778,MCF-7_Epithelium_Breast | CTCF | ID:6576,0.089417465
2314,SK-N-SH_Neuroblastoma_cell_Brain | CTCF | ID:46035,0.08940344
3223,Epithelium_Prostate | AR | ID:50056,0.08935421
5368,MCF-7_Epithelium_Breast | ZNF592 | ID:64279,0.08931631
5263,HEK293_Epithelium_Embryonic_Kidney | ZFP64 | ID:63981,0.08930493
4202,Jurkat_T_Lymphocyte_Blood | POLR2A | ID:56011,0.089183405
349,MCF-7_Epithelium_Breast | GATA3 | ID:33149,0.08901966
2626,SK-N-MC_Brain | FOXP2 | ID:46340,0.089003205
5297,K562_Erythroblast_Bone_Marrow | ATF3 | ID:64076,0.08894412
3482,HUES64_Embryonic_Stem_Cell_Embryo | SMAD4 | ID:51574,0.0889197
4601,HCC1954_Epithelium_Mammary_Gland | NRF1 | ID:58939,0.088856086
3436,HUES64_Embryonic_Stem_Cell_Embryo | GATA4 | ID:51465,0.08876497
1868,BE2-C_Neuroblast_Brain | CTCF | ID:45574,0.08868656
1153,Kasumi-1_Myeloblast_Blood | TCF12 | ID:40162,0.088669084
8730,Fetal_Lung | DNase.all.peaks | Roadmap,0.088618085
5049,K562_Erythroblast_Bone_Marrow | DDX20 | ID:63426,0.088612095
5423,K562_Erythroblast_Bone_Marrow | HMBOX1 | ID:64414,0.08858573
1873,Brain | CTCF | ID:45579,0.088555515
4877,A549_Epithelium_Lung | CEBPB | ID:63004,0.088523895
1738,VCaP_Epithelium_Prostate | BRD4 | ID:44601,0.088523276
8302,Progenitor_Cells | POLR2A | ID:87440,0.08849161
7697,TIME_Fibroblast | POLR2A | ID:83200,0.08841542
6445,Osteoblast | POLR2A | ID:71249,0.08837964
9215,K562 | COREST | ENCODE,0.08836641
8358,iPSC | FGFR1 | ID:87695,0.088360585
5958,C4-2_Prostate | POLR2A | ID:68084,0.08835875
6910,D-341 | OTX2 | ID:74350,0.08831215
2133,Lymphocyte_Blood | STAT4 | ID:4585,0.088289626
7924,JHU-06_Endothelial_Cell | JUN | ID:84610,0.08826913
7583,TMD8 | STAT3 | ID:82372,0.08826743
6380,MCF-7_Epithelium | ZNF143 | ID:71042,0.08818536
1936,GM12878_B_Lymphocyte_Blood | CHD1 | ID:45646,0.08817715
8037,A549_Epithelium_Lung | BRD4 | ID:85406,0.088172324
3949,SF268 | TEAD1 | ID:54612,0.08816674
3113,MCF-7_Epithelium_Breast | ESR1 | ID:49654,0.088164136
3967,MCF-7_Epithelium_Breast | ESR1 | ID:54646,0.08813769
3317,hMADS-3_Adipocyte_Adipose | KLF11 | ID:50415,0.08812666
5347,A549_Epithelium_Lung | HES2 | ID:64216,0.088104166
5331,Breast | CTCF | ID:64159,0.08807725
4133,VCaP_Epithelium_Prostate | POLR2A | ID:55709,0.08804168
274,WM451-lu_Melanocyte_Skin | SETDB1 | ID:2976,0.088022634
2043,HeLa-S3_Epithelium_Cervix | ELK4 | ID:45755,0.08794601
5220,HEK293_Epithelium_Embryonic_Kidney | ZNF138 | ID:63871,0.087882355
1259,GM18505_Lymphoblastoid_Blood | POLR2A | ID:41688,0.08786944
190,MCF-7_Epithelium_Breast | GATA3 | ID:2325,0.087858535
7150,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:76222,0.087762155
8480,HeLa_Epithelium_Cervix | SMC3 | ID:88347,0.08776016
2419,GM12878_B_Lymphocyte_Blood | POLR2A | ID:46137,0.08766557
701,Huh7_Epithelium_Liver | FOXA1 | ID:35946,0.0876483
780,GM12878_B_Lymphocyte_Blood | CTCF | ID:36616,0.08761254
2224,K562_Erythroblast_Bone_Marrow | GATA2 | ID:45944,0.087572336
7724,Breast | ESR1 | ID:83328,0.087571435
9427,PFSK-1 | NRSF | ENCODE,0.08756749
337,ZR-75-1_Epithelium_Mammary_Gland | ESR1 | ID:33130,0.08747632
3284,LNCaP_Epithelium_Prostate | AR | ID:50273,0.08737898
5748,Saos-2_Osteosarcoma_cell_Bone | TP73 | ID:6544,0.08737486
3652,CyT49_Embryonic_Stem_Cell_Embryo | FOXA2 | ID:52681,0.08733581
8107,Muscle | KLF15 | ID:85942,0.08731036
1557,Proerythroblast_Bone_Marrow | GFI1B | ID:43448,0.087245874
473,Plasma_Cell | POLR2A | ID:33873,0.08723105
7922,JHU-06_Endothelial_Cell | IRF1 | ID:84605,0.08722099
4270,Epithelium_Mammary_Gland | E2F1 | ID:56252,0.0872141
2691,SUM159PT_Epithelium_Mammary_Gland | CTCF | ID:47281,0.08716286
6422,LNCaP_Epithelium_Prostate | FOXA1 | ID:71217,0.08712181
2685,MCF-7_Epithelium_Breast | KDM5B | ID:47266,0.08708622
7965,H1975_Lung | ZEB1 | ID:84926,0.08707691
6869,MCF-7_Breast | GATA3 | ID:74148,0.08706539
551,Raji_B_Lymphocyte_Blood | PAX5 | ID:34473,0.08704701
4293,Prostate | AR | ID:56392,0.08703805
8435,hMSC-TERT4 | MED1 | ID:88057,0.0870374
5819,MDA-MB-231_Epithelium_Mammary_Gland | GATA3 | ID:67503,0.087014325
4380,HeLa_Epithelium_Cervix | POLR2A | ID:56956,0.08700919
4782,HEK293_Epithelium_Embryonic_Kidney | ZNF71 | ID:62769,0.08698848
3965,MCF-7_Epithelium_Breast | POLR2A | ID:54644,0.086912386
2870,GM12878_B_Lymphocyte_Blood | REST | ID:48299,0.08679163
6088,MCF-7_Epithelium_Breast | ESR1 | ID:68873,0.08676431
2215,K562_Erythroblast_Bone_Marrow | TBL1XR1 | ID:45935,0.08672578
3463,HUES64_Embryonic_Stem_Cell_Embryo | POLR2A | ID:51534,0.08671341
1978,H1_Embryonic_Stem_Cell_Embryo | ZNF143 | ID:45688,0.08668803
2134,Endothelial_Cell_Umbilical_Vein | CTCF | ID:45850,0.08668227
6900,MV4;11_Acute_myeloid_leukemia | MLLT1 | ID:74318,0.086669266
8142,SUM44_Breast | ESR1 | ID:86209,0.08664698
2653,SK-N-SH_RA_Neuron_Brain | CTCF | ID:46367,0.08662304
1880,GM10847_Lymphoblastoid_Blood | POLR2A | ID:45586,0.086448394
9040,HeLa-S3 | Pol2(phosphoS2) | ENCODE,0.08633304
151,LNCaP_Epithelium_Prostate | AR | ID:2172,0.08628401
8842,GM12878 | SRF | ENCODE,0.08627126
7738,MCF-7_Epithelium_Breast | ESR1 | ID:83431,0.08626377
6517,U2OS_Bone | ESR1 | ID:71968,0.086258106
8187,HCT-116_HCT116 | POLR2A | ID:86621,0.08623244
2150,IMR90_Fibroblast_Lung | MXI1 | ID:45866,0.08615324
3720,HeLa_Epithelium_Cervix | POLR2A | ID:53345,0.08614776
4627,MutuI_B_Lymphocyte | RBPJ | ID:59346,0.0861028
7453,K562_Erythroblast_Bone_Marrow | BRD4 | ID:81397,0.086063206
3397,Pre-B_Lymphocyte | BCL6 | ID:51245,0.08605071
5537,K562_Erythroblast_Bone_Marrow | TCF7L2 | ID:64759,0.085984856
4749,gastroesophageal_sphincter | POLR2A | ID:62698,0.085948445
1167,B_Lymphocyte_Blood | CDK9 | ID:40227,0.08593984
2216,K562_Erythroblast_Bone_Marrow | NFYB | ID:45936,0.08591324
9298,K562 | SIX5 | ENCODE,0.085874975
3810,T47D_Epithelium_Mammary_Gland | EP300 | ID:53970,0.085817
8830,GM12878 | Pol3 | ENCODE,0.08574095
1853,A549_Epithelium_Lung | CEBPB | ID:45559,0.08572909
8422,K562_Erythroblast_Bone_Marrow | POLR2A | ID:8797,0.085694194
9417,Penis_Foreskin_Fibroblast_Primary_Cells_skin02 | DNase.hot | Roadmap,0.08560294
3747,Adipocyte | RELA | ID:53597,0.08557661
1794,HepG2_Epithelium_Liver | EZH2 | ID:45294,0.08557085
7804,K562_Leukemia | SIRT1 | ID:83889,0.08557075
8924,H1-hESC | CTCF | ENCODE,0.08554767
6016,Neural_Progenitor_Cell | POU3F2 | ID:68569,0.08553583
8119,Monocyte_Blood | CEBPB | ID:85985,0.08550037
1561,HEK293T_Epithelium_Embryonic_Kidney | EZH2 | ID:43544,0.0854776
2415,GM12878_B_Lymphocyte_Blood | ATF3 | ID:46133,0.085401155
6654,Cardiomyocyte | TBX5 | ID:72917,0.085336946
8524,IMEC_Epithelium_Breast | MYC | ID:88605,0.08530073
4878,HEK293_Epithelium_Embryonic_Kidney | ZNF8 | ID:63006,0.08528413
7783,K562_Leukemia | POLR2A | ID:83749,0.08527036
375,P493-6_B_cell_lymphoma | MED1 | ID:33199,0.085226126
6913,D-341 | OTX2 | ID:74353,0.08520792
3814,T47D_Epithelium_Mammary_Gland | EP300 | ID:53974,0.085193366
3516,ZR-75-1_Epithelium_Mammary_Gland | POLR2A | ID:51805,0.08513374
7871,LNCaP_Epithelium_Prostate | FOXA1 | ID:84338,0.08512516
6023,Patient_derived_xenograft_cells | KMT2D | ID:68638,0.08507257
728,Caco-2_Epithelium_Colon | GATA6 | ID:362,0.08502801
5679,HEK293_Epithelium_Embryonic_Kidney | FEZF1 | ID:65116,0.085002095
2196,K562_Erythroblast_Bone_Marrow | POLR2A | ID:45915,0.08497807
1241,OCI-Ly1_B_cell_lymphoma_Bone_Marrow | BCL6 | ID:41482,0.08497245
6550,Kasumi-1_Acute_myeloid_leukemia | RUNX1 | ID:72352,0.084930755
5097,HEK293_Epithelium_Embryonic_Kidney | ZNF692 | ID:63538,0.08486061
9435,Psoas_Muscle | DNase.hot | Roadmap,0.08480718
7700,TIME_Fibroblast | POLR2A | ID:83205,0.08474035
2765,TIVE-LTC_T_Lymphocyte_Blood | POLR2A | ID:47733,0.08472134
7539,Breast | FOXA1 | ID:82081,0.08471924
2144,IMR90_Fibroblast_Lung | POLR2A | ID:45860,0.08471138
9449,SK-N-SH_RA | Rad21 | ENCODE,0.08469944
249,U2OS_Bone | TRIM28 | ID:2780,0.08462266
5820,MDA-MB-231_Epithelium_Mammary_Gland | GATA3 | ID:67516,0.084602945
441,Epithelium_Cervix | FAIRE | ID:33599,0.08459792
867,Jurkat_E6-1_T_Lymphocyte_Blood | GATA3 | ID:37391,0.08454635
6005,C4-2B_Epithelium_Prostate | POLR2A | ID:68392,0.08451481
4096,B_Lymphocyte | MEF2B | ID:55584,0.08450342
7650,Breast | ESR1 | ID:82848,0.08449293
7841,22RV1_Epithelium_Prostate | FOXA1 | ID:84210,0.08442564
5608,A549_Epithelium_Lung | NR3C1 | ID:64931,0.08436796
698,T47D-MTVL_Epithelium_Mammary_Gland | POLR2A | ID:35938,0.08434496
6635,Endothelial_Cell_Umbilical_Vein | ETS1 | ID:72628,0.08433533
1640,T_Lymphocyte_Blood | KAT2B | ID:4418,0.08428163
6350,Raji_B_Lymphocyte_Blood | E2F1 | ID:70953,0.08427756
5131,K562_Erythroblast_Bone_Marrow | ZKSCAN8 | ID:63611,0.084229566
1435,LoVo_Colon | E2F3 | ID:42712,0.084224045
7210,K562_Lymphoblast | EPC1 | ID:76528,0.08420145
4539,Embryonic_Stem_Cell_Embryo | POU5F1 | ID:58486,0.084169134
211,MCF-7_Epithelium_Breast | STAG1 | ID:2398,0.08409989
5422,Skin | CTCF | ID:64413,0.084074475
1307,HCT-116_Colon | CTCF | ID:42151,0.08406746
4984,Sigmoid_Colon | CTCF | ID:63284,0.08397334
1026,LoVo_Colon | AEBP2 | ID:38782,0.08394152
7384,GM12878_Lymphoblastoid | REL | ID:77536,0.08393124
2250,K562_Erythroblast_Bone_Marrow | IRF1 | ID:45971,0.08385827
5194,HepG2_Epithelium_Liver | ZBTB40 | ID:63800,0.083852
6393,VCaP_Epithelium_Prostate | CTCF | ID:71105,0.08373442
6063,T47D_Embryonic_Stem_Cell_Breast | ESR1 | ID:68847,0.08372056
7859,hESC | SOX2 | ID:84265,0.0836129
7381,U2OS_Bone | HIF1A | ID:77519,0.08357142
2013,HEK293_Epithelium_Embryonic_Kidney | TCF7L2 | ID:45723,0.08353918
3050,T47D_Epithelium_Mammary_Gland | EGLN2 | ID:49448,0.08352975
3334,Jurkat_T_Lymphocyte_Blood | MYB | ID:50565,0.08348542
7987,MCF-10A_Epithelium_Breast | POLR2A | ID:85074,0.08342568
8235,JMSU-1_cancer_cells | RXRA | ID:86919,0.08342504
6725,SUM229_Mammary_carcinoma_cell_Breast | BRD4 | ID:73500,0.08330794
1635,T_Lymphocyte_Blood | INO80 | ID:44130,0.08328621
1010,LoVo_Colon | GATA4 | ID:38741,0.08324035
2367,ECC-1_Epithelium_Endometrium | RAD21 | ID:46088,0.08311028
8718,Fetal_Intestine_Large | DNase.all.peaks | Roadmap,0.08306714
5759,MCF-7_Epithelium_Breast | ESR1 | ID:6556,0.083032556
8773,GM12878 | ATF3 | ENCODE,0.082985274
6275,293T | TET2 | ID:70096,0.08285579
7088,Retina | CTCF | ID:75554,0.08277538
9217,K562 | CTCFL | ENCODE,0.08271069
7748,HepG2_Epithelium_Liver | RUVBL2 | ID:83527,0.08267696
850,H2171_Epithelium_Lung | MAX | ID:37173,0.08267271
8651,A549 (EtOH_0.02pct) | Sin3Ak-20 | ENCODE,0.082669996
3609,501-Mel_Melanoma_Cell | SMARCA4 | ID:52550,0.08264126
68,HeLa_Epithelium_Cervix | RELA | ID:1335,0.0825932
3231,VCaP_Epithelium_Prostate | ESR1 | ID:50063,0.082518056
373,U87_Brain | MAX | ID:33197,0.08249871
9175,IMR90 | Rad21 | ENCODE,0.08247572
263,V6.5_Embryonic_Stem_Cell | SMC1A | ID:2896,0.082303576
504,HUES64_Embryonic_Stem_Cell_Embryo | NANOG | ID:34089,0.08218887
5902,HCC1395 | BRD4 | ID:67806,0.08214429
6091,MCF-7_Epithelium_Breast | NR3C1 | ID:68876,0.08212796
2603,MCF-7_Epithelium_Breast | CTCF | ID:46318,0.08212217
6002,LY2_Breast | ESR1 | ID:68324,0.08209392
940,H54_Glial_Cell_Brain | MYC | ID:38200,0.082067646
2168,K562_Erythroblast_Bone_Marrow | MYC | ID:45885,0.08204055
5579,A549_Epithelium_Lung | NR3C1 | ID:64862,0.08193857
4478,HeLa_Epithelium_Cervix | HIF1A | ID:58172,0.08192629
5595,MCF-7_Epithelium_Breast | MBD2 | ID:64900,0.08190574
1225,NOMO-1_Myeloid_Cell | ZFX | ID:41307,0.08188275
99,Hs68_Fibroblast_Foreskin | PHF8 | ID:1629,0.08185046
3122,GM12878_B_Lymphocyte_Blood | RELA | ID:4970,0.081789486
5580,A549_Epithelium_Lung | NR3C1 | ID:64863,0.08168899
7957,THP-1_Monocyte_Blood | VDR | ID:84828,0.08168431
5777,MCF-7_Epithelium_Breast | CTCF | ID:6575,0.08166167
4524,LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58354,0.08160737
4076,IMR90_Fibroblast_Lung | YAP1 | ID:55513,0.08159457
5276,A549_Epithelium_Lung | CEBPB | ID:64017,0.08159227
3279,VCaP_Epithelium_Prostate | AR | ID:50260,0.081520215
4236,Prostate | AR | ID:56107,0.081520095
7682,HeLa_Cervical_Carcinoma | SMC3 | ID:83137,0.08149998
5786,T47D_Epithelium_Mammary_Gland | ESR1 | ID:6588,0.08148177
7092,Retina | CTCF | ID:75558,0.08121241
7489,HOS_Osteosarcoma_cell | FOS | ID:81731,0.081210285
4790,HEK293_Epithelium_Embryonic_Kidney | ZNF394 | ID:62793,0.08118796
570,MCF-7_Epithelium_Breast | FOXM1 | ID:35002,0.081166476
8272,T47D_Epithelium_Mammary_Gland | ESR1 | ID:87200,0.08113326
3320,GM12891_Lymphoblastoid_Blood | CTCF | ID:5043,0.081082396
8173,Embryonic_Stem_Cell | NANOG | ID:86533,0.081032805
8069,MIN_cancer_cells_Breast | ESR1 | ID:85654,0.08102741
3160,GM19099_Lymphoblastoid_Blood | POLR2A | ID:4985,0.08100906
8649,A549 | Pol2(phosphoS2) | ENCODE,0.08096945
3153,GM18505_Lymphoblastoid_Blood | POLR2A | ID:4980,0.08093586
436,T47D_Epithelium_Mammary_Gland | PR | ID:33570,0.0808491
6545,Gen2.2_Plasmacytoid_dendritic_cell | POLR2A | ID:72346,0.080829516
3793,HEK293A | MEF2B | ID:53878,0.0808245
4795,K562_Erythroblast_Bone_Marrow | COPS2 | ID:62811,0.080823496
1528,CUTLL1_T_Lymphocyte_Blood | RBPJ | ID:43102,0.08075438
868,DLD-1_Epithelium_Colon | REPIN1 | ID:37565,0.080744386
1047,LoVo_Colon | NFE2L2 | ID:38850,0.08074338
3736,SH-SY5Y_Bone_Marrow | KDM1A | ID:53470,0.08072402
4794,K562_Erythroblast_Bone_Marrow | PTRF | ID:62802,0.08065989
3395,Neural_Stem_Cell | CHD8 | ID:51103,0.080520034
7462,Progenitor_Cells | POLR2A | ID:81575,0.08046881
6376,Cancer_stem_cell_Colon | EHMT2 | ID:71037,0.080444746
192,MCF-7_Epithelium_Breast | POLR2A | ID:2374,0.08043165
6639,HEK293FT_Kidney | NUP98-HOXA9 | ID:72703,0.08037009
9143,HMF | CTCF | ENCODE,0.080299795
1357,GM18486_Lymphoblastoid_Blood | CTCF | ID:42353,0.08025566
9162,HUVEC | Pol2(b) | ENCODE,0.08023859
7344,293T | ZNF124 | ID:77177,0.080229804
9184,K562 | ARID3A | ENCODE,0.08019737
881,ME-1_Leukemia_Cell | TCF12 | ID:37602,0.08010413
4090,B_Lymphocyte | MEF2B | ID:55563,0.080066055
7442,Raji_B_Lymphocyte_Blood | POLR2A | ID:81320,0.08005848
4600,Epithelium | NRF1 | ID:58937,0.08005086
7365,HepG2_Epithelium_Liver | NFIA | ID:77267,0.08004131
7971,C4-2B_Epithelium_Prostate | ZFX | ID:84931,0.08003723
1469,T47D_Epithelium_Mammary_Gland | XBP1 | ID:42895,0.0799789
7608,LNCaP_Epithelium_Prostate | AR | ID:82536,0.07991947
7296,293T | ZNF561 | ID:77090,0.07990841
2497,HCT-116_Colon | JUND | ID:46213,0.07990817
3683,HEK293_Epithelium_Embryonic_Kidney | FOXM1 | ID:53252,0.07990143
6117,BJAB_GCB_DLBCL_cells | BIRA | ID:69217,0.07987427
1261,GM18508_Lymphoblastoid_Blood | POLR2A | ID:41690,0.07983935
4953,A549_Epithelium_Lung | BCL3 | ID:63200,0.07980399
4087,H3396_Epithelium_Mammary_Gland | ESR1 | ID:5555,0.07979053
279,Proerythroblast_Bone_Marrow | CTCF | ID:3050,0.07972217
1668,LNCaP_Epithelium_Prostate | AR | ID:44326,0.07961296
4950,A549_Epithelium_Lung | NR3C1 | ID:63195,0.07953956
4433,H9_Embryonic_Stem_Cell_Embryo | POU5F1 | ID:5754,0.07953685
7573,MCF-7_Epithelium_Breast | ESR1 | ID:82331,0.079474114
1838,NHLF_Fibroblast_Lung | EZH2 | ID:45498,0.079453215
8879,GM12892 | YY1 | ENCODE,0.07936241
1727,VCaP_Epithelium_Prostate | POLR2A | ID:44590,0.07935246
8158,HeLa_Cervical_Carcinoma | CTCF | ID:86441,0.0793274
920,Bone_Marrow | SUZ12 | ID:38163,0.07928242
770,IMR90_Fibroblast_Lung | POLR2B | ID:36356,0.07921221
8019,HeLa_Epithelium_Cervix | POLR2A | ID:85296,0.07917525
6594,Th1 | POLR2A | ID:72423,0.079160765
4259,LNCaP_Epithelium_Prostate | AR | ID:56207,0.07914786
9280,K562 | Pol2 | ENCODE,0.07912376
2012,HEK293_Epithelium_Embryonic_Kidney | POLR2A | ID:45722,0.079075254
3485,HUES64_Embryonic_Stem_Cell_Embryo | SOX2 | ID:51585,0.07902472
3823,MCF-7_Epithelium_Breast | ESR1 | ID:53987,0.07902196
8628,A549 | CEBPB | ENCODE,0.079004794
265,VCaP_Epithelium_Prostate | AR | ID:2910,0.07897924
8245,HeLa_Cervical_Carcinoma | SMC3 | ID:87040,0.078906596
2794,GM12878_B_Lymphocyte_Blood | REST | ID:47857,0.078887895
4194,293T-Rex | BRD4 | ID:55869,0.078849815
5113,HEK293_Epithelium_Embryonic_Kidney | ZNF239 | ID:63580,0.07883794
5388,HEK293_Epithelium_Embryonic_Kidney | PRDM2 | ID:64312,0.0788264
775,GM12878_B_Lymphocyte_Blood | CTCF | ID:36575,0.078792654
6590,Th2 | POLR2A | ID:72419,0.078766204
4683,HEK293_Epithelium_Embryonic_Kidney | ZNF600 | ID:62555,0.07872843
9279,K562 (IFNg6h) | Pol2 | ENCODE,0.0787193
4248,Prostate | AR | ID:56120,0.078677274
110,IMR90_Fibroblast_Lung | RB1 | ID:1872,0.078676775
8064,HeLa_Cervical_Carcinoma | CTCF | ID:85640,0.07865246
2022,HeLa-S3_Epithelium_Cervix | SMARCC1 | ID:45732,0.07864823
2557,K562_Erythroblast_Bone_Marrow | SIX5 | ID:46273,0.07863267
8336,hESC_Embryonic_Stem_Cell | MORC2 | ID:87623,0.07860127
4462,LNCaP_Epithelium_Prostate | CHD1 | ID:58019,0.07856254
3830,MCF-7_Epithelium_Breast | ESR1 | ID:53994,0.07852438
5557,A549_Epithelium_Lung | BCL3 | ID:64800,0.07851585
5593,GM12878_B_Lymphocyte_Blood | ZNF143 | ID:64894,0.07850627
9378,NH-A | CTCF | ENCODE,0.078307256
2385,ECC-1_Epithelium_Endometrium | YY1 | ID:46104,0.07827907
3977,HCT-116_Colon | TCF4 | ID:54667,0.07826994
5223,GM12878_B_Lymphocyte_Blood | MLLT1 | ID:63875,0.07824372
6714,Neurosphere | RBPJ | ID:73406,0.07823144
3428,HUES64_Embryonic_Stem_Cell_Embryo | EOMES | ID:51449,0.07821962
5658,HEK293_Epithelium_Embryonic_Kidney | SP2 | ID:65084,0.07813843
7277,293T | ZNF736 | ID:77052,0.0780824
1563,HEK293T_Epithelium_Embryonic_Kidney | CBX4 | ID:43555,0.07798471
2836,PC-3_Epithelium_Prostate | AR | ID:48096,0.077871755
717,Epithelium_Mammary_Gland | ESR1 | ID:36101,0.07780903
1495,LoVo_Colon | HNF4A | ID:42947,0.07780344
6048,K562_Leukemia_Cell | SPI1 | ID:68825,0.077795856
5601,K562_Erythroblast_Bone_Marrow | CBX1 | ID:64917,0.07772275
2797,Jurkat_T_Lymphocyte_Blood | REST | ID:47860,0.07772099
4151,K562_Erythroblast_Bone_Marrow | CTCF | ID:55728,0.077662304
